Time,EB_Left,EB_Thru,EB_Right,EB_U,EB_Peds,WB_Left,WB_Thru,WB_Right,WB_U,WB_Peds,NB_Left,NB_Thru,NB_Right,NB_U,NB_Peds,SB_Left,SB_Thru,SB_Right,SB_U,SB_Peds,Vehicle_Total
7:00,0,0,7,,,0,0,1,,,11,65,1,,,21,266,0,,,372
7:15,0,0,5,,,0,0,4,,,9,84,3,,,22,248,0,,,375
7:30,0,0,5,,,0,0,8,,,10,76,5,,,29,238,2,,,373
7:45,0,0,8,,,1,0,6,,,14,64,5,,,46,187,2,,,333
8:00,0,0,7,,,1,0,10,,,8,89,4,,,35,158,5,,,317
8:15,0,0,5,,,0,0,9,,,13,91,0,,,49,133,4,,,304
8:30,0,0,9,,,0,0,8,,,22,60,3,,,37,128,2,,,269
8:45,0,0,11,,,0,0,8,,,19,65,4,,,42,88,4,,,241
16:00,0,0,22,,,0,0,7,,,38,152,8,,0,99,122,5,,1,453
16:15,0,0,17,,,0,0,7,,,27,151,4,,0,99,96,6,,0,407
16:30,0,0,30,,,0,0,12,,,27,149,5,,1,89,100,10,,0,422
16:45,0,0,21,,,0,0,6,,,26,177,2,,0,97,97,6,,1,432
17:00,0,0,31,,,0,0,9,,,34,189,1,,0,100,84,6,,1,454
17:15,0,0,25,,,0,0,8,,,42,154,6,,0,116,90,5,,0,446
17:30,0,0,17,,,0,0,10,,,19,153,3,,0,90,100,5,,0,397
17:45,0,0,16,,,0,0,9,,,31,134,4,,0,106,77,8,,1,385
